"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Seth Curry",4000,"SAC@DAL 10/20/2017 08:30PM ET",22.694,"DAL"
"PF/C","Taj Gibson",4000,"UTA@MIN 10/20/2017 08:00PM ET",22.000,"MIN"
"PG/SG","Donovan Mitchell",4000,"UTA@MIN 10/20/2017 08:00PM ET",0,"UTA"
"SG","Nick Young",4000,"GS@NO 10/20/2017 09:30PM ET",20.131,"GS"
"C","Ian Mahinmi",4000,"DET@WAS 10/20/2017 07:00PM ET",14.868,"WAS"
"PF/C","Richaun Holmes",3900,"BOS@PHI 10/20/2017 07:00PM ET",21.371,"PHI"
"SG/SF","Joe Johnson",3900,"UTA@MIN 10/20/2017 08:00PM ET",18.118,"UTA"
"PF/C","Tristan Thompson",3900,"CLE@MIL 10/20/2017 07:00PM ET",23.719,"CLE"
"SG/SF","Patrick McCaw",3900,"GS@NO 10/20/2017 09:30PM ET",8.966,"GS"
"PF/C","Jon Leuer",3900,"DET@WAS 10/20/2017 07:00PM ET",20.635,"DET"
"C","Ivica Zubac",3800,"LAL@PHO 10/20/2017 10:00PM ET",15.950,"LAL"
"SG/SF","Glenn Robinson III",3800,"POR@IND 10/20/2017 07:00PM ET",13.205,"IND"
"PF/C","Jarrett Allen",3800,"ORL@BKN 10/20/2017 07:30PM ET",8.250,"BKN"
"PF/C","Bismack Biyombo",3800,"ORL@BKN 10/20/2017 07:30PM ET",18.427,"ORL"
"C","Jahlil Okafor",3800,"BOS@PHI 10/20/2017 07:00PM ET",21.490,"PHI"
"PF/C","Jordan Bell",3800,"GS@NO 10/20/2017 09:30PM ET",10.250,"GS"
"SF/PF","Luol Deng",3700,"LAL@PHO 10/20/2017 10:00PM ET",18.461,"LAL"
"SF/PF","Jonathan Isaac",3700,"ORL@BKN 10/20/2017 07:30PM ET",22.750,"ORL"
"PG/SG","Malik Monk",3700,"ATL@CHA 10/20/2017 07:00PM ET",15.750,"CHA"
"PG/SG","Garrett Temple",3700,"SAC@DAL 10/20/2017 08:30PM ET",18.549,"SAC"
"PF/C","Gorgui Dieng",3700,"UTA@MIN 10/20/2017 08:00PM ET",26.883,"MIN"
"SG","Jamal Crawford",3700,"UTA@MIN 10/20/2017 08:00PM ET",19.608,"MIN"
"SF/PF","Jonas Jerebko",3700,"UTA@MIN 10/20/2017 08:00PM ET",10.503,"UTA"
"SG/SF","E'Twaun Moore",3700,"GS@NO 10/20/2017 09:30PM ET",17.943,"NO"
"SG/SF","Stanley Johnson",3700,"DET@WAS 10/20/2017 07:00PM ET",11.490,"DET"
"C","Boban Marjanovic",3700,"DET@WAS 10/20/2017 07:00PM ET",11.964,"DET"
"PG","Tim Frazier",3700,"DET@WAS 10/20/2017 07:00PM ET",19.842,"WAS"
"PG/SG","Alec Burks",3600,"UTA@MIN 10/20/2017 08:00PM ET",12.357,"UTA"
"SG/SF","J.R. Smith",3600,"CLE@MIL 10/20/2017 07:00PM ET",16.746,"CLE"
